hip_angle_l,hip_flexion_l_moment
-18.88835016,0.230127511
-20.0344668,0.232218008
-21.12525706,0.232327218
-22.08301894,0.230278944
-23.04082648,0.226305704
-23.99858836,0.220482885
-24.92367434,0.213308164
-25.8339053,0.204760989
-26.74417966,0.194897799
-27.64577245,0.183936453
-28.4562894,0.171788657
-29.2667677,0.15916429
-30.07728465,0.146371817
-30.7687227,0.133945186
-31.32754976,0.122209677
-31.88635017,0.111196351
-32.44517723,0.101163428
-32.78067578,0.092680852
-33.08416852,0.085643947
-33.38764678,0.080149824
-33.7242374,0.076535295
-34.1486804,0.075242108
-34.57314365,0.075636377
-34.99760689,0.077661114
-35.39765188,0.079594102
-35.78564505,0.0820891
-36.17361972,0.085734753
-36.55698784,0.090420757
-36.87225502,0.097812682
-37.18753722,0.105489147
-37.5028044,0.11310415
-37.74581827,0.119500383
-37.90351222,0.124168019
-38.06121368,0.127686389
-38.21890762,0.129708941
-38.24177479,0.131975685
-38.24177479,0.132487178
-38.24177479,0.130650246
-38.23412992,0.126102462
-38.20381643,0.118375941
-38.17350438,0.107903782
-38.14319088,0.094681931
-38.09327541,0.078719279
-38.03266098,0.060171382
-37.97204944,0.039262433
-37.91292539,0.016195328
-37.88865666,-0.009856576
-37.86438676,-0.037364156
-37.84011687,-0.065948512
-37.82649254,-0.095321652
-37.82649254,-0.125108845
-37.82649254,-0.154768831
-37.82649254,-0.18392121
-37.82649254,-0.212217195
-37.82649254,-0.239350936
-37.82649254,-0.265069287
-37.82649254,-0.289179578
-37.57091157,-0.311515673
-37.20714883,-0.332042253
-36.84340344,-0.35078673
-36.47510906,-0.36758055
-36.06484726,-0.380533846
-35.6545659,-0.392107703
-35.2443041,-0.402532842
-34.88017,-0.412582506
-34.59523248,-0.422898897
-34.31028138,-0.432873016
-34.02534386,-0.442762778
-33.8097278,-0.452238877
-33.6156555,-0.461868107
-33.42157395,-0.47195008
-33.22461055,-0.482444073
-33.01236475,-0.492900852
-32.80011896,-0.503778524
-32.58788329,-0.514920812
-32.48329518,-0.526569513
-32.46508574,-0.538351498
-32.44687543,-0.549567114
-32.42866599,-0.559862249
-32.4452016,-0.568578257
-32.46341225,-0.575642161
-32.48162376,-0.580745424
-32.49768833,-0.583626322
-32.50982679,-0.58408916
-32.52196466,-0.581994344
-32.53410311,-0.577313086
-32.53711342,-0.570116631
-32.53711342,-0.56057172
-32.53711342,-0.548939242
-32.53354664,-0.535575607
-32.50928491,-0.52095278
